region,regioncode,district,districtcode,ward,wardcode,street,places
ARUSHA,23,ARUSHA CBD,231,SEKEI,23101,SANAWARI,
ARUSHA,23,ARUSHA CBD,231,SEKEI,23101,NAUREI,
ARUSHA,23,ARUSHA CBD,231,SEKEI,23101,MTAA WA AICC,
ARUSHA,23,ARUSHA CBD,231,SEKEI,23101,MTAA WA MAHAKAMANI,
ARUSHA,23,ARUSHA CBD,231,SEKEI,23101,NAURA,
ARUSHA,23,ARUSHA CBD,231,SEKEI,23101,GOLIONDOI,
ARUSHA,23,ARUSHA CBD,231,KATI,23102,BONDENI,
ARUSHA,23,ARUSHA CBD,231,KATI,23102,PANGANI,
ARUSHA,23,ARUSHA CBD,231,KALOLENI,23103,KALOLENI MAGHARIBI,
ARUSHA,23,ARUSHA CBD,231,KALOLENI,23103,MITA 200,
ARUSHA,23,ARUSHA CBD,231,KALOLENI,23103,KALOLENI MASHARIKI,
ARUSHA,23,ARUSHA CBD,231,LEVOLOSI,23104,MTAA WA LEVOLOSI,
ARUSHA,23,ARUSHA CBD,231,LEVOLOSI,23104,MAJENGO,
ARUSHA,23,ARUSHA CBD,231,NGARENARO,23105,KAMBI YA FISI,
ARUSHA,23,ARUSHA CBD,231,NGARENARO,23105,DARAJANI,
ARUSHA,23,ARUSHA CBD,231,NGARENARO,23105,NHC,
ARUSHA,23,ARUSHA CBD,231,NGARENARO,23105,TCA,
ARUSHA,23,ARUSHA CBD,231,NGARENARO,23105,MITA 200,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,KWARE,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,BURKA,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,AZIMIO,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,SHAMSI,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,SAMANGA,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,SACON,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,REMTULA,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,MAMA MUSA,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,NGURUMO,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,URUNDINI,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,SHUMA,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,MAJENGO “A”,
ARUSHA,23,ARUSHA CBD,231,ELERAI,23106,MAJENGO “B”,
ARUSHA,23,ARUSHA CBD,231,UNGA LIMITED,23107,ESSO,
ARUSHA,23,ARUSHA CBD,231,UNGA LIMITED,23107,VIWANDANI,
ARUSHA,23,ARUSHA CBD,231,UNGA LIMITED,23107,MAKABURI YA BANIANI,
ARUSHA,23,ARUSHA CBD,231,UNGA LIMITED,23107,TINDIGA,
ARUSHA,23,ARUSHA CBD,231,UNGA LIMITED,23107,DARAJANI,
ARUSHA,23,ARUSHA CBD,231,UNGA LIMITED,23107,OSTERBAY,
ARUSHA,23,ARUSHA CBD,231,DARAJA II,23108,JAMHURI,
ARUSHA,23,ARUSHA CBD,231,DARAJA II,23108,ALINYANYA,
ARUSHA,23,ARUSHA CBD,231,DARAJA II,23108,SANARE,
ARUSHA,23,ARUSHA CBD,231,DARAJA II,23108,NDARVOI,
ARUSHA,23,ARUSHA CBD,231,DARAJA II,23108,DARAJANI,
ARUSHA,23,ARUSHA CBD,231,DARAJA II,23108,KATI,
ARUSHA,23,ARUSHA CBD,231,THEMI,23109,THEMI MASHARIKI,
ARUSHA,23,ARUSHA CBD,231,THEMI,23109,OLD POLICE,
ARUSHA,23,ARUSHA CBD,231,THEMI,23109,CORRIDOR AREA,
ARUSHA,23,ARUSHA CBD,231,THEMI,23109,AICC FLATS,
ARUSHA,23,ARUSHA CBD,231,THEMI,23109,KAMBARAGE,
ARUSHA,23,ARUSHA CBD,231,KIMANDOLU,23110,KITIANGARE,
ARUSHA,23,ARUSHA CBD,231,KIMANDOLU,23110,TINDIGANI,
ARUSHA,23,ARUSHA CBD,231,KIMANDOLU,23110,KIJENGE KASKAZINI,
ARUSHA,23,ARUSHA CBD,231,KIMANDOLU,23110,KIJENGE KUSINI,
ARUSHA,23,ARUSHA CBD,231,OLORIENI,23111,SUYE,
ARUSHA,23,ARUSHA CBD,231,OLORIENI,23111,MEIRIOTI,
ARUSHA,23,ARUSHA CBD,231,OLORIENI,23111,MWANAMA,
ARUSHA,23,ARUSHA CBD,231,OLORIENI,23111,MBESHERE,
ARUSHA,23,ARUSHA CBD,231,OLORIENI,23111,MOIVOI,
ARUSHA,23,ARUSHA CBD,231,OLORIENI,23111,RC,
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,KWA MREFU,
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,SORENYI,
