id,region,district,code
1,ARUSHA,ARUMERU,233
2,ARUSHA,ARUSHA,232
3,ARUSHA,ARUSHA CBD,231
4,ARUSHA,KARATU,236
5,ARUSHA,LONGIDO,235
6,ARUSHA,MONDULI,234
7,ARUSHA,NGORONGORO,237
8,DAR-ES-SALAAM,ILALA,12
9,DAR-ES-SALAAM,ILALA CBD,11
10,DAR-ES-SALAAM,KIGAMBONI,17
11,DAR-ES-SALAAM,KINONDONI,14
12,DAR-ES-SALAAM,TEMEKE,15
13,DAR-ES-SALAAM,UBUNGO,16
14,DODOMA,BAHI,41
15,DODOMA,CHAMWINO,41
16,DODOMA,CHEMBA,41
17,DODOMA,DODOMA,41
18,DODOMA,"DODOMA
CBD",41
19,DODOMA,KONDOA,41
20,DODOMA,KONGWA,41
21,DODOMA,MPWAPWA,41
22,GEITA,BUKOMBE,30
23,GEITA,CHATO,30
24,GEITA,GEITA,30
25,GEITA,MBOGWE,30
26,GEITA,NYANG'HWALE,30
27,IRINGA,IRINGA,51
28,IRINGA,IRINGA CBD,51
29,IRINGA,KILOLO,51
30,IRINGA,MUFINDI,51
31,KAGERA,BIHARAMULO,35
32,KAGERA,BUKOBA,35
33,KAGERA,BUKOBA CBD,35
34,KAGERA,KARAGWE,35
35,KAGERA,KYERWA,35
36,KAGERA,MISSENYI,35
37,KAGERA,MULEBA,35
38,KAGERA,NGARA,35
39,KATAVI,MLELE,50
40,KATAVI,MPANDA -CBD,50
41,KATAVI,TANGANYIKA,50
42,KIGOMA,BUHIGWE,47
43,KIGOMA,KAKONKO,47
44,KIGOMA,KASULU,47
45,KIGOMA,KIBONDO,47
46,KIGOMA,KIGOMA,47
47,KIGOMA,"KIGOMA
CBD",47
48,KIGOMA,UVINZA,47
49,KILIMANJARO,HAI,25
50,KILIMANJARO,MOSHI,25
51,KILIMANJARO,MOSHI CBD,25
52,KILIMANJARO,MWANGA,25
53,KILIMANJARO,ROMBO,25
54,KILIMANJARO,SAME,25
55,KILIMANJARO,SIHA,25
56,LINDI,KILWA,65
57,LINDI,LINDI,65
58,LINDI,LINDI  CBD,65
59,LINDI,LIWALE,65
60,LINDI,NACHINGWEA,65
61,LINDI,RUANGWA,65
62,MANYARA,BABATI,27
63,MANYARA,BABATI CBD,27
64,MANYARA,HANANG',27
65,MANYARA,KITETO,27
66,MANYARA,MBULU,27
67,MANYARA,SIMANJIRO,27
68,MARA,BUNDA,31
69,MARA,BUTIAMA,31
70,MARA,MUSOMA CBD,31
71,MARA,RORYA,31
72,MARA,SERENGETI,31
73,MARA,TARIME,31
74,MBEYA,CHUNYA,53
75,MBEYA,KYELA,53
76,MBEYA,MBARALI,53
77,MBEYA,MBEYA,53
78,MBEYA,MBEYA CBD,53
79,MBEYA,RUNGWE,53
80,MOROGORO,GAIRO,67
81,MOROGORO,KILOMBERO,67
82,MOROGORO,KILOSA,67
83,MOROGORO,MALINYI,67
84,MOROGORO,MOROGORO,67
85,MOROGORO,"MOROGORO
CBD",67
86,MOROGORO,MVOMERO,67
87,MOROGORO,ULANGA,67
88,MTWARA,MASASI,63
89,MTWARA,MTWARA,63
90,MTWARA,MTWARA CBD,63
91,MTWARA,NANYUMBU,63
92,MTWARA,NEWALA,63
93,MTWARA,TANDAHIMBA,63
94,MWANZA,ILEMELA,33
95,MWANZA,KWIMBA,33
96,MWANZA,MAGU,33
97,MWANZA,MISUNGWI,33
98,MWANZA,NYAMAGANA,33
99,MWANZA,SENGEREMA,33
100,MWANZA,UKEREWE,33
101,NJOMBE,LUDEWA,59
102,NJOMBE,MAKETE,59
103,NJOMBE,NJOMBE,59
104,NJOMBE,NJOMBE CBD,59
105,NJOMBE,"WANGING'O
MBE",59
106,PWANI,BAGAMOYO,61
107,PWANI,KIBAHA,61
108,PWANI,KIBAHA CBD,61
109,PWANI,KIBITI,61
110,PWANI,KISARAWE,61
111,PWANI,MAFIA,61
112,PWANI,MKURANGA,61
113,PWANI,RUFIJI,61
114,RUKWA,KALAMBO,55
115,RUKWA,NKASI,55
116,RUKWA,SUMBAWANGA,55
117,RUKWA,"SUMBAWANGA
CBD",55
118,RUVUMA,MBINGA,57
119,RUVUMA,NAMTUMBO,57
120,RUVUMA,NYASA,57
121,RUVUMA,SONGEA,57
122,RUVUMA,SONGEA CBD,57
123,RUVUMA,TUNDURU,57
124,SHINYANGA,KAHAMA,37
125,SHINYANGA,KISHAPU,37
126,SHINYANGA,SHINYANGA,37
127,SHINYANGA,"SHINYANGA
CBD",37
128,SIMIYU,BARIADI,39
129,SIMIYU,BUSEGA,39
130,SIMIYU,ITILIMA,39
131,SIMIYU,MASWA,39
132,SIMIYU,MEATU,39
133,SINGIDA,IKUNGI,43
134,SINGIDA,IRAMBA,43
135,SINGIDA,MANYONI,43
136,SINGIDA,MKALAMA,43
137,SINGIDA,SINGIDA,43
138,SINGIDA,SINGIDA CBD,43
139,SONGWE,ILEJE,54
140,SONGWE,MBOZI,54
141,SONGWE,MOMBA,54
142,SONGWE,SONGWE,54
143,TABORA,IGUNGA,45
144,TABORA,KALIUA,45
145,TABORA,NZEGA,45
146,TABORA,SIKONGE,45
147,TABORA,TABORA CBD,45
148,TABORA,URAMBO,45
149,TABORA,UYUI,45
150,TANGA,HANDENI,21
151,TANGA,KILINDI,21
152,TANGA,KOROGWE,21
153,TANGA,LUSHOTO,21
154,TANGA,MKINGA,21
155,TANGA,MUHEZA,21
156,TANGA,PANGANI,21
157,TANGA,TANGA,21
158,TANGA,TANGA CBD,21
