id,ward,street,places,district
1,AKHERI,AKHERI,IFURINY,ARUMERU
2,AKHERI,AKHERI,MARINGA,ARUMERU
3,AKHERI,AKHERI,NKOAMALAY,ARUMERU
4,AKHERI,NGURUMA,MAKSORU,ARUMERU
5,AKHERI,NGURUMA,MANYIRE,ARUMERU
6,AKHERI,NGURUMA,MURAIWENI,ARUMERU
7,AKHERI,NGURUMA,NGURUMA KATI,ARUMERU
8,AKHERI,PATANDI,DULUTI,ARUMERU
9,AKHERI,PATANDI,MAVINUNI,ARUMERU
10,AKHERI,PATANDI,PATANDI,ARUMERU
11,AKHERI,PATANDI,TENGERU,ARUMERU
12,AMBURENI,AMBURENI,AMBURENI,ARUMERU
13,AMBURENI,AMBURENI,MSORONGO,ARUMERU
14,AMBURENI,AMBURENI,URONY,ARUMERU
15,AMBURENI,SHANGARAI,LORUVANI,ARUMERU
16,AMBURENI,SHANGARAI,MACHUMBA,ARUMERU
17,AMBURENI,SHANGARAI,MOIVARO,ARUMERU
18,IMBASENI,IMBASENI,CHEMCHEM,ARUMERU
19,IMBASENI,IMBASENI,KANISANI,ARUMERU
20,IMBASENI,IMBASENI,SHULENI,ARUMERU
21,IMBASENI,IMBASENI,SOKONI,ARUMERU
22,IMBASENI,IMBASENI,TANGINI,ARUMERU
23,IMBASENI,KIWAWA,ARUDECO,ARUMERU
24,IMBASENI,KIWAWA,BONDENI,ARUMERU
25,IMBASENI,KIWAWA,KIWAWA,ARUMERU
26,IMBASENI,NGONGONGARE,ARAUYO,ARUMERU
27,IMBASENI,NGONGONGARE,MAMUNA,ARUMERU
28,IMBASENI,NGONGONGARE,MTONI,ARUMERU
29,IMBASENI,NGONGONGARE,NAPOCO,ARUMERU
30,KIKATITI,KIKATITI,KIKATITI MJINI,ARUMERU
31,KIKATITI,KIKATITI,NKOAMANGASHA,ARUMERU
32,KIKATITI,KIKATITI,SURUMALA,ARUMERU
33,KIKATITI,NASHOLI,KAMBI YA MKAA,ARUMERU
34,KIKATITI,NASHOLI,MLIMANI,ARUMERU
35,KIKATITI,NGYEKU,CHEMCHEM,ARUMERU
36,KIKATITI,NGYEKU,MLIMANI,ARUMERU
37,KIKATITI,NGYEKU,NGYEKU KATI,ARUMERU
38,KIKATITI,NGYEKU,NKAOSABAYA,ARUMERU
39,KIKATITI,SAKILA,MKUFINI,ARUMERU
40,KIKATITI,SAKILA,NRUMANGENY,ARUMERU
41,KIKATITI,SAKILA,ULUKUSARE,ARUMERU
42,KIKATITI,SAKILA CHINI,DACHI,ARUMERU
43,KIKATITI,SAKILA CHINI,LUWAINI,ARUMERU
